discharge_current_limit_A,min_module_temp_C,avg_module_temp_C,plc_ac_temp_ref_C,voltage_V,discharge_power_limit_kW,soc_pct,charge_power_limit_kW,max_module_temp_C,soh_pct,charge_current_limit_A,max_cell_voltage_V,min_cell_voltage_V,voltage_diff_V,current_A,power_kW
151.7,24.72,25.0,21.66,386.45,79.767,79.564,81.02,25.89,95.346,124.8,3.993,3.6,0.3925,-12.353,-4.7738
153.1,24.65,25.0,22.03,385.8,83.871,79.642,98.116,26.06,95.235,110.2,3.995,3.6,0.3944,-13.642,-5.263
154.0,24.42,25.0,22.3,390.83,75.407,79.71,104.535,25.65,95.088,110.1,4.011,3.6,0.4125,-4.037,-1.578
157.3,24.38,24.99,22.55,384.27,76.523,79.707,87.146,25.73,95.349,121.4,3.996,3.6,0.3952,2.912,1.119
151.6,24.62,24.99,21.87,384.91,77.219,79.809,82.077,25.58,95.088,120.0,3.975,3.6,0.3756,-54.949,-21.1504
153.9,24.29,24.99,21.88,390.05,68.884,79.846,76.578,24.99,95.166,120.9,3.996,3.6,0.3978,-48.647,-18.9746
147.9,24.25,24.98,23.38,390.44,85.171,79.75,88.535,25.37,94.941,117.7,3.999,3.6,0.4006,-10.794,-4.2145
150.5,24.2,24.98,23.21,386.26,87.15,79.777,88.102,25.24,95.013,123.3,4.0,3.6,0.3997,-29.298,-11.3166
150.9,24.38,24.99,22.48,386.37,75.792,79.671,86.092,25.11,94.861,124.7,4.0,3.6,0.3986,11.241,4.343
151.7,24.21,24.98,23.72,388.96,82.089,79.749,91.328,25.42,95.198,122.4,4.018,3.6,0.4205,-21.303,-8.2861
156.2,24.87,24.99,21.61,383.05,78.407,79.734,92.371,26.19,94.764,118.7,3.976,3.6,0.3772,-53.691,-20.5664
154.4,24.55,24.99,23.62,383.95,81.97,79.706,91.938,25.77,95.156,109.5,4.001,3.6,0.3974,-40.36,-15.4965
150.4,24.66,24.99,22.54,387.03,76.235,79.628,88.103,26.18,94.962,123.8,4.022,3.6,0.4214,-69.994,-27.0895
143.5,24.47,24.99,25.27,390.81,74.699,79.74,83.39,25.91,95.234,126.1,3.963,3.6,0.363,-19.683,-7.6922
150.5,24.6,24.99,20.81,386.81,86.312,79.714,93.995,26.02,95.15,123.2,4.001,3.6,0.4023,-18.768,-7.2596
149.8,24.52,24.99,21.31,387.83,79.617,79.662,90.075,25.52,95.364,115.6,3.985,3.6,0.3867,-23.489,-9.1098
151.5,24.11,24.99,22.42,389.85,92.133,79.616,95.33,25.94,95.146,123.4,3.989,3.6,0.3893,6.578,2.5642
167.7,24.52,24.98,22.4,391.84,80.278,79.66,94.74,26.0,94.686,124.3,3.978,3.6,0.3797,8.97,3.515
145.8,24.41,24.99,23.95,386.5,74.444,79.686,81.469,25.62,94.987,127.8,3.993,3.6,0.3936,-18.408,-7.1146
153.4,24.53,24.99,21.33,387.66,87.362,79.717,81.395,25.95,94.766,115.6,4.034,3.6,0.4327,-57.694,-22.3653
158.5,24.46,24.97,22.9,391.37,83.785,79.75,85.467,25.94,94.896,118.9,3.972,3.6,0.3717,-2.654,-1.0388
150.8,24.48,24.98,23.16,384.91,84.361,79.955,83.662,25.62,95.302,123.7,3.976,3.6,0.3762,-3.893,-1.4984
168.7,24.41,25.0,22.7,389.95,87.144,79.904,94.532,25.46,95.128,120.3,3.973,3.6,0.3729,-8.812,-3.4363
147.0,24.26,24.99,21.04,385.79,76.083,79.843,92.108,25.44,94.86,114.4,4.033,3.6,0.4292,4.63,1.7861
152.6,24.15,24.98,23.41,387.93,79.236,79.751,96.595,25.81,94.797,122.1,3.988,3.6,0.3875,-38.297,-14.8564
143.6,24.42,24.98,23.23,387.3,78.971,79.803,92.379,25.88,95.007,122.9,3.998,3.6,0.3976,25.175,9.7503
147.2,24.36,24.98,22.6,385.98,72.256,79.906,91.252,25.54,94.757,120.4,3.991,3.6,0.3904,-34.189,-13.1961
152.0,24.71,24.98,22.2,385.91,78.418,79.884,97.198,25.79,94.866,121.1,3.98,3.6,0.3795,-0.016,-0.006
156.8,24.49,24.97,22.23,388.32,88.018,79.79,92.818,25.94,95.062,118.7,3.993,3.6,0.3942,-48.747,-18.9295
152.6,24.29,24.97,21.92,389.66,81.424,79.698,90.409,25.96,95.231,127.4,4.046,3.6,0.444,-33.605,-13.0946
160.1,24.3,24.98,22.64,387.47,71.924,79.753,98.883,26.24,95.122,115.5,4.025,3.6,0.4221,15.327,5.9389
149.2,24.43,24.97,22.03,387.94,70.665,79.817,90.691,26.15,94.542,117.1,3.981,3.6,0.3804,-20.218,-7.8434
147.3,24.3,24.97,21.15,388.99,89.989,79.862,88.174,25.47,95.061,120.1,4.012,3.6,0.4131,1.798,0.6996
171.6,24.39,24.98,20.95,385.82,79.458,79.785,84.973,26.29,95.014,124.4,3.981,3.6,0.3846,-10.261,-3.9589
153.2,24.25,24.99,21.25,389.26,76.116,79.798,94.218,25.63,95.083,112.5,3.962,3.6,0.364,-17.099,-6.656
144.2,24.43,24.98,22.22,389.42,78.356,79.8,97.422,26.1,95.323,113.4,4.018,3.6,0.4155,12.277,4.7809
144.4,24.55,24.98,21.97,393.0,71.136,79.812,89.696,25.8,94.587,109.8,4.021,3.6,0.4209,-19.733,-7.7551
142.5,24.42,24.99,22.22,387.13,88.539,79.889,97.847,25.66,94.882,120.2,4.02,3.6,0.4203,-50.615,-19.5943
157.5,24.89,24.98,22.5,386.98,77.642,79.901,78.18,25.23,95.118,114.4,3.99,3.6,0.39,-31.065,-12.0213
147.1,24.4,24.98,21.37,389.49,88.204,79.959,89.667,25.73,94.684,118.1,3.996,3.6,0.3973,-3.976,-1.5487
151.0,24.75,24.97,23.47,389.59,80.31,79.956,89.759,25.31,95.295,123.3,4.015,3.6,0.4127,-7.09,-2.7621152.1,24.43,25.0,21.19,387.13,85.809,80.02,93.854,25.41,95.345,119.8,4.017,3.6,0.4184,-26.326,-10.1916
136.3,24.48,25.0,20.01,389.86,94.507,79.906,93.975,25.65,94.693,122.2,3.977,3.6,0.3809,-27.492,-10.718
144.3,24.54,25.01,22.54,388.53,71.663,79.972,80.866,25.93,95.173,118.5,4.016,3.6,0.4183,11.503,4.4692
156.2,24.19,25.0,24.12,386.67,88.749,80.056,88.614,25.77,94.934,118.0,4.024,3.6,0.4262,-8.394,-3.2458
147.8,24.62,25.0,23.39,386.1,80.421,79.85,80.291,25.6,94.988,120.5,4.003,3.6,0.4089,-19.235,-7.4266
145.9,24.09,25.0,21.74,384.39,84.837,79.71,104.678,25.6,94.789,110.4,3.994,3.6,0.3946,-5.026,-1.9318
161.2,24.55,25.01,22.01,388.27,70.113,79.713,80.431,25.59,94.933,122.4,4.005,3.6,0.4061,-57.144,-22.187
141.6,24.77,25.01,22.89,386.93,88.808,79.671,83.713,25.55,95.26,120.0,3.939,3.6,0.3409,-15.863,-6.1377
143.6,24.49,25.0,23.12,382.88,84.719,79.66,83.756,26.48,95.117,120.2,4.003,3.6,0.4006,24.95,9.553
151.7,24.72,25.0,21.66,386.45,79.767,79.564,81.02,25.89,95.346,124.8,3.993,3.6,0.3925,-12.353,-4.7738
153.1,24.65,25.0,22.03,385.8,83.871,79.642,98.116,26.06,95.235,110.2,3.995,3.6,0.3944,-13.642,-5.263
154.0,24.42,25.0,22.3,390.83,75.407,79.71,104.535,25.65,95.088,110.1,4.011,3.6,0.4125,-4.037,-1.578
157.3,24.38,24.99,22.55,384.27,76.523,79.707,87.146,25.73,95.349,121.4,3.996,3.6,0.3952,2.912,1.119
151.6,24.62,24.99,21.87,384.91,77.219,79.809,82.077,25.58,95.088,120.0,3.975,3.6,0.3756,-54.949,-21.1504
153.9,24.29,24.99,21.88,390.05,68.884,79.846,76.578,24.99,95.166,120.9,3.996,3.6,0.3978,-48.647,-18.9746
147.9,24.25,24.98,23.38,390.44,85.171,79.75,88.535,25.37,94.941,117.7,3.999,3.6,0.4006,-10.794,-4.2145
150.5,24.2,24.98,23.21,386.26,87.15,79.777,88.102,25.24,95.013,123.3,4.0,3.6,0.3997,-29.298,-11.3166
150.9,24.38,24.99,22.48,386.37,75.792,79.671,86.092,25.11,94.861,124.7,4.0,3.6,0.3986,11.241,4.343
151.7,24.21,24.98,23.72,388.96,82.089,79.749,91.328,25.42,95.198,122.4,4.018,3.6,0.4205,-21.303,-8.2861
156.2,24.87,24.99,21.61,383.05,78.407,79.734,92.371,26.19,94.764,118.7,3.976,3.6,0.3772,-53.691,-20.5664
154.4,24.55,24.99,23.62,383.95,81.97,79.706,91.938,25.77,95.156,109.5,4.001,3.6,0.3974,-40.36,-15.4965
150.4,24.66,24.99,22.54,387.03,76.235,79.628,88.103,26.18,94.962,123.8,4.022,3.6,0.4214,-69.994,-27.0895
143.5,24.47,24.99,25.27,390.81,74.699,79.74,83.39,25.91,95.234,126.1,3.963,3.6,0.363,-19.683,-7.6922
150.5,24.6,24.99,20.81,386.81,86.312,79.714,93.995,26.02,95.15,123.2,4.001,3.6,0.4023,-18.768,-7.2596
149.8,24.52,24.99,21.31,387.83,79.617,79.662,90.075,25.52,95.364,115.6,3.985,3.6,0.3867,-23.489,-9.1098
151.5,24.11,24.99,22.42,389.85,92.133,79.616,95.33,25.94,95.146,123.4,3.989,3.6,0.3893,6.578,2.5642
167.7,24.52,24.98,22.4,391.84,80.278,79.66,94.74,26.0,94.686,124.3,3.978,3.6,0.3797,8.97,3.515
145.8,24.41,24.99,23.95,386.5,74.444,79.686,81.469,25.62,94.987,127.8,3.993,3.6,0.3936,-18.408,-7.1146
153.4,24.53,24.99,21.33,387.66,87.362,79.717,81.395,25.95,94.766,115.6,4.034,3.6,0.4327,-57.694,-22.3653
158.5,24.46,24.97,22.9,391.37,83.785,79.75,85.467,25.94,94.896,118.9,3.972,3.6,0.3717,-2.654,-1.0388
150.8,24.48,24.98,23.16,384.91,84.361,79.955,83.662,25.62,95.302,123.7,3.976,3.6,0.3762,-3.893,-1.4984
168.7,24.41,25.0,22.7,389.95,87.144,79.904,94.532,25.46,95.128,120.3,3.973,3.6,0.3729,-8.812,-3.4363
147.0,24.26,24.99,21.04,385.79,76.083,79.843,92.108,25.44,94.86,114.4,4.033,3.6,0.4292,4.63,1.7861
152.6,24.15,24.98,23.41,387.93,79.236,79.751,96.595,25.81,94.797,122.1,3.988,3.6,0.3875,-38.297,-14.8564
143.6,24.42,24.98,23.23,387.3,78.971,79.803,92.379,25.88,95.007,122.9,3.998,3.6,0.3976,25.175,9.7503
147.2,24.36,24.98,22.6,385.98,72.256,79.906,91.252,25.54,94.757,120.4,3.991,3.6,0.3904,-34.189,-13.1961
152.0,24.71,24.98,22.2,385.91,78.418,79.884,97.198,25.79,94.866,121.1,3.98,3.6,0.3795,-0.016,-0.006
156.8,24.49,24.97,22.23,388.32,88.018,79.79,92.818,25.94,95.062,118.7,3.993,3.6,0.3942,-48.747,-18.9295
152.6,24.29,24.97,21.92,389.66,81.424,79.698,90.409,25.96,95.231,127.4,4.046,3.6,0.444,-33.605,-13.0946
160.1,24.3,24.98,22.64,387.47,71.924,79.753,98.883,26.24,95.122,115.5,4.025,3.6,0.4221,15.327,5.9389
149.2,24.43,24.97,22.03,387.94,70.665,79.817,90.691,26.15,94.542,117.1,3.981,3.6,0.3804,-20.218,-7.8434
147.3,24.3,24.97,21.15,388.99,89.989,79.862,88.174,25.47,95.061,120.1,4.012,3.6,0.4131,1.798,0.6996
171.6,24.39,24.98,20.95,385.82,79.458,79.785,84.973,26.29,95.014,124.4,3.981,3.6,0.3846,-10.261,-3.9589
153.2,24.25,24.99,21.25,389.26,76.116,79.798,94.218,25.63,95.083,112.5,3.962,3.6,0.364,-17.099,-6.656
144.2,24.43,24.98,22.22,389.42,78.356,79.8,97.422,26.1,95.323,113.4,4.018,3.6,0.4155,12.277,4.7809
144.4,24.55,24.98,21.97,393.0,71.136,79.812,89.696,25.8,94.587,109.8,4.021,3.6,0.4209,-19.733,-7.7551
142.5,24.42,24.99,22.22,387.13,88.539,79.889,97.847,25.66,94.882,120.2,4.02,3.6,0.4203,-50.615,-19.5943
157.5,24.89,24.98,22.5,386.98,77.642,79.901,78.18,25.23,95.118,114.4,3.99,3.6,0.39,-31.065,-12.0213
147.1,24.4,24.98,21.37,389.49,88.204,79.959,89.667,25.73,94.684,118.1,3.996,3.6,0.3973,-3.976,-1.5487
151.0,24.75,24.97,23.47,389.59,80.31,79.956,89.759,25.31,95.295,123.3,4.015,3.6,0.4127,-7.09,-2.7621152.1,24.43,25.0,21.19,387.13,85.809,80.02,93.854,25.41,95.345,119.8,4.017,3.6,0.4184,-26.326,-10.1916
136.3,24.48,25.0,20.01,389.86,94.507,79.906,93.975,25.65,94.693,122.2,3.977,3.6,0.3809,-27.492,-10.718
144.3,24.54,25.01,22.54,388.53,71.663,79.972,80.866,25.93,95.173,118.5,4.016,3.6,0.4183,11.503,4.4692
156.2,24.19,25.0,24.12,386.67,88.749,80.056,88.614,25.77,94.934,118.0,4.024,3.6,0.4262,-8.394,-3.2458
147.8,24.62,25.0,23.39,386.1,80.421,79.85,80.291,25.6,94.988,120.5,4.003,3.6,0.4089,-19.235,-7.4266
145.9,24.09,25.0,21.74,384.39,84.837,79.71,104.678,25.6,94.789,110.4,3.994,3.6,0.3946,-5.026,-1.9318
161.2,24.55,25.01,22.01,388.27,70.113,79.713,80.431,25.59,94.933,122.4,4.005,3.6,0.4061,-57.144,-22.187
141.6,24.77,25.01,22.89,386.93,88.808,79.671,83.713,25.55,95.26,120.0,3.939,3.6,0.3409,-15.863,-6.1377
143.6,24.49,25.0,23.12,382.88,84.719,79.66,83.756,26.48,95.117,120.2,4.003,3.6,0.4006,24.95,9.553
151.7,24.72,25.0,21.66,386.45,79.767,79.564,81.02,25.89,95.346,124.8,3.993,3.6,0.3925,-12.353,-4.7738
153.1,24.65,25.0,22.03,385.8,83.871,79.642,98.116,26.06,95.235,110.2,3.995,3.6,0.3944,-13.642,-5.263
154.0,24.42,25.0,22.3,390.83,75.407,79.71,104.535,25.65,95.088,110.1,4.011,3.6,0.4125,-4.037,-1.578
157.3,24.38,24.99,22.55,384.27,76.523,79.707,87.146,25.73,95.349,121.4,3.996,3.6,0.3952,2.912,1.119
151.6,24.62,24.99,21.87,384.91,77.219,79.809,82.077,25.58,95.088,120.0,3.975,3.6,0.3756,-54.949,-21.1504
153.9,24.29,24.99,21.88,390.05,68.884,79.846,76.578,24.99,95.166,120.9,3.996,3.6,0.3978,-48.647,-18.9746
147.9,24.25,24.98,23.38,390.44,85.171,79.75,88.535,25.37,94.941,117.7,3.999,3.6,0.4006,-10.794,-4.2145
150.5,24.2,24.98,23.21,386.26,87.15,79.777,88.102,25.24,95.013,123.3,4.0,3.6,0.3997,-29.298,-11.3166
150.9,24.38,24.99,22.48,386.37,75.792,79.671,86.092,25.11,94.861,124.7,4.0,3.6,0.3986,11.241,4.343
151.7,24.21,24.98,23.72,388.96,82.089,79.749,91.328,25.42,95.198,122.4,4.018,3.6,0.4205,-21.303,-8.2861
156.2,24.87,24.99,21.61,383.05,78.407,79.734,92.371,26.19,94.764,118.7,3.976,3.6,0.3772,-53.691,-20.5664
154.4,24.55,24.99,23.62,383.95,81.97,79.706,91.938,25.77,95.156,109.5,4.001,3.6,0.3974,-40.36,-15.4965
150.4,24.66,24.99,22.54,387.03,76.235,79.628,88.103,26.18,94.962,123.8,4.022,3.6,0.4214,-69.994,-27.0895
143.5,24.47,24.99,25.27,390.81,74.699,79.74,83.39,25.91,95.234,126.1,3.963,3.6,0.363,-19.683,-7.6922
150.5,24.6,24.99,20.81,386.81,86.312,79.714,93.995,26.02,95.15,123.2,4.001,3.6,0.4023,-18.768,-7.2596
149.8,24.52,24.99,21.31,387.83,79.617,79.662,90.075,25.52,95.364,115.6,3.985,3.6,0.3867,-23.489,-9.1098
151.5,24.11,24.99,22.42,389.85,92.133,79.616,95.33,25.94,95.146,123.4,3.989,3.6,0.3893,6.578,2.5642
167.7,24.52,24.98,22.4,391.84,80.278,79.66,94.74,26.0,94.686,124.3,3.978,3.6,0.3797,8.97,3.515
145.8,24.41,24.99,23.95,386.5,74.444,79.686,81.469,25.62,94.987,127.8,3.993,3.6,0.3936,-18.408,-7.1146
153.4,24.53,24.99,21.33,387.66,87.362,79.717,81.395,25.95,94.766,115.6,4.034,3.6,0.4327,-57.694,-22.3653
158.5,24.46,24.97,22.9,391.37,83.785,79.75,85.467,25.94,94.896,118.9,3.972,3.6,0.3717,-2.654,-1.0388
150.8,24.48,24.98,23.16,384.91,84.361,79.955,83.662,25.62,95.302,123.7,3.976,3.6,0.3762,-3.893,-1.4984
168.7,24.41,25.0,22.7,389.95,87.144,79.904,94.532,25.46,95.128,120.3,3.973,3.6,0.3729,-8.812,-3.4363
147.0,24.26,24.99,21.04,385.79,76.083,79.843,92.108,25.44,94.86,114.4,4.033,3.6,0.4292,4.63,1.7861
152.6,24.15,24.98,23.41,387.93,79.236,79.751,96.595,25.81,94.797,122.1,3.988,3.6,0.3875,-38.297,-14.8564
143.6,24.42,24.98,23.23,387.3,78.971,79.803,92.379,25.88,95.007,122.9,3.998,3.6,0.3976,25.175,9.7503
147.2,24.36,24.98,22.6,385.98,72.256,79.906,91.252,25.54,94.757,120.4,3.991,3.6,0.3904,-34.189,-13.1961
152.0,24.71,24.98,22.2,385.91,78.418,79.884,97.198,25.79,94.866,121.1,3.98,3.6,0.3795,-0.016,-0.006
156.8,24.49,24.97,22.23,388.32,88.018,79.79,92.818,25.94,95.062,118.7,3.993,3.6,0.3942,-48.747,-18.9295
152.6,24.29,24.97,21.92,389.66,81.424,79.698,90.409,25.96,95.231,127.4,4.046,3.6,0.444,-33.605,-13.0946
160.1,24.3,24.98,22.64,387.47,71.924,79.753,98.883,26.24,95.122,115.5,4.025,3.6,0.4221,15.327,5.9389
149.2,24.43,24.97,22.03,387.94,70.665,79.817,90.691,26.15,94.542,117.1,3.981,3.6,0.3804,-20.218,-7.8434
147.3,24.3,24.97,21.15,388.99,89.989,79.862,88.174,25.47,95.061,120.1,4.012,3.6,0.4131,1.798,0.6996
171.6,24.39,24.98,20.95,385.82,79.458,79.785,84.973,26.29,95.014,124.4,3.981,3.6,0.3846,-10.261,-3.9589
153.2,24.25,24.99,21.25,389.26,76.116,79.798,94.218,25.63,95.083,112.5,3.962,3.6,0.364,-17.099,-6.656
144.2,24.43,24.98,22.22,389.42,78.356,79.8,97.422,26.1,95.323,113.4,4.018,3.6,0.4155,12.277,4.7809
144.4,24.55,24.98,21.97,393.0,71.136,79.812,89.696,25.8,94.587,109.8,4.021,3.6,0.4209,-19.733,-7.7551
142.5,24.42,24.99,22.22,387.13,88.539,79.889,97.847,25.66,94.882,120.2,4.02,3.6,0.4203,-50.615,-19.5943
157.5,24.89,24.98,22.5,386.98,77.642,79.901,78.18,25.23,95.118,114.4,3.99,3.6,0.39,-31.065,-12.0213
147.1,24.4,24.98,21.37,389.49,88.204,79.959,89.667,25.73,94.684,118.1,3.996,3.6,0.3973,-3.976,-1.5487
151.0,24.75,24.97,23.47,389.59,80.31,79.956,89.759,25.31,95.295,123.3,4.015,3.6,0.4127,-7.09,-2.7621152.1,24.43,25.0,21.19,387.13,85.809,80.02,93.854,25.41,95.345,119.8,4.017,3.6,0.4184,-26.326,-10.1916
136.3,24.48,25.0,20.01,389.86,94.507,79.906,93.975,25.65,94.693,122.2,3.977,3.6,0.3809,-27.492,-10.718
144.3,24.54,25.01,22.54,388.53,71.663,79.972,80.866,25.93,95.173,118.5,4.016,3.6,0.4183,11.503,4.4692
156.2,24.19,25.0,24.12,386.67,88.749,80.056,88.614,25.77,94.934,118.0,4.024,3.6,0.4262,-8.394,-3.2458
147.8,24.62,25.0,23.39,386.1,80.421,79.85,80.291,25.6,94.988,120.5,4.003,3.6,0.4089,-19.235,-7.4266
145.9,24.09,25.0,21.74,384.39,84.837,79.71,104.678,25.6,94.789,110.4,3.994,3.6,0.3946,-5.026,-1.9318
161.2,24.55,25.01,22.01,388.27,70.113,79.713,80.431,25.59,94.933,122.4,4.005,3.6,0.4061,-57.144,-22.187
141.6,24.77,25.01,22.89,386.93,88.808,79.671,83.713,25.55,95.26,120.0,3.939,3.6,0.3409,-15.863,-6.1377
143.6,24.49,25.0,23.12,382.88,84.719,79.66,83.756,26.48,95.117,120.2,4.003,3.6,0.4006,24.95,9.553
151.7,24.72,25.0,21.66,386.45,79.767,79.564,81.02,25.89,95.346,124.8,3.993,3.6,0.3925,-12.353,-4.7738
153.1,24.65,25.0,22.03,385.8,83.871,79.642,98.116,26.06,95.235,110.2,3.995,3.6,0.3944,-13.642,-5.263
154.0,24.42,25.0,22.3,390.83,75.407,79.71,104.535,25.65,95.088,110.1,4.011,3.6,0.4125,-4.037,-1.578
157.3,24.38,24.99,22.55,384.27,76.523,79.707,87.146,25.73,95.349,121.4,3.996,3.6,0.3952,2.912,1.119
151.6,24.62,24.99,21.87,384.91,77.219,79.809,82.077,25.58,95.088,120.0,3.975,3.6,0.3756,-54.949,-21.1504
153.9,24.29,24.99,21.88,390.05,68.884,79.846,76.578,24.99,95.166,120.9,3.996,3.6,0.3978,-48.647,-18.9746
147.9,24.25,24.98,23.38,390.44,85.171,79.75,88.535,25.37,94.941,117.7,3.999,3.6,0.4006,-10.794,-4.2145
150.5,24.2,24.98,23.21,386.26,87.15,79.777,88.102,25.24,95.013,123.3,4.0,3.6,0.3997,-29.298,-11.3166
150.9,24.38,24.99,22.48,386.37,75.792,79.671,86.092,25.11,94.861,124.7,4.0,3.6,0.3986,11.241,4.343
151.7,24.21,24.98,23.72,388.96,82.089,79.749,91.328,25.42,95.198,122.4,4.018,3.6,0.4205,-21.303,-8.2861
156.2,24.87,24.99,21.61,383.05,78.407,79.734,92.371,26.19,94.764,118.7,3.976,3.6,0.3772,-53.691,-20.5664
154.4,24.55,24.99,23.62,383.95,81.97,79.706,91.938,25.77,95.156,109.5,4.001,3.6,0.3974,-40.36,-15.4965
150.4,24.66,24.99,22.54,387.03,76.235,79.628,88.103,26.18,94.962,123.8,4.022,3.6,0.4214,-69.994,-27.0895
143.5,24.47,24.99,25.27,390.81,74.699,79.74,83.39,25.91,95.234,126.1,3.963,3.6,0.363,-19.683,-7.6922
150.5,24.6,24.99,20.81,386.81,86.312,79.714,93.995,26.02,95.15,123.2,4.001,3.6,0.4023,-18.768,-7.2596
149.8,24.52,24.99,21.31,387.83,79.617,79.662,90.075,25.52,95.364,115.6,3.985,3.6,0.3867,-23.489,-9.1098
151.5,24.11,24.99,22.42,389.85,92.133,79.616,95.33,25.94,95.146,123.4,3.989,3.6,0.3893,6.578,2.5642
167.7,24.52,24.98,22.4,391.84,80.278,79.66,94.74,26.0,94.686,124.3,3.978,3.6,0.3797,8.97,3.515
145.8,24.41,24.99,23.95,386.5,74.444,79.686,81.469,25.62,94.987,127.8,3.993,3.6,0.3936,-18.408,-7.1146
153.4,24.53,24.99,21.33,387.66,87.362,79.717,81.395,25.95,94.766,115.6,4.034,3.6,0.4327,-57.694,-22.3653
158.5,24.46,24.97,22.9,391.37,83.785,79.75,85.467,25.94,94.896,118.9,3.972,3.6,0.3717,-2.654,-1.0388
150.8,24.48,24.98,23.16,384.91,84.361,79.955,83.662,25.62,95.302,123.7,3.976,3.6,0.3762,-3.893,-1.4984
168.7,24.41,25.0,22.7,389.95,87.144,79.904,94.532,25.46,95.128,120.3,3.973,3.6,0.3729,-8.812,-3.4363
147.0,24.26,24.99,21.04,385.79,76.083,79.843,92.108,25.44,94.86,114.4,4.033,3.6,0.4292,4.63,1.7861
152.6,24.15,24.98,23.41,387.93,79.236,79.751,96.595,25.81,94.797,122.1,3.988,3.6,0.3875,-38.297,-14.8564
143.6,24.42,24.98,23.23,387.3,78.971,79.803,92.379,25.88,95.007,122.9,3.998,3.6,0.3976,25.175,9.7503
147.2,24.36,24.98,22.6,385.98,72.256,79.906,91.252,25.54,94.757,120.4,3.991,3.6,0.3904,-34.189,-13.1961
152.0,24.71,24.98,22.2,385.91,78.418,79.884,97.198,25.79,94.866,121.1,3.98,3.6,0.3795,-0.016,-0.006
156.8,24.49,24.97,22.23,388.32,88.018,79.79,92.818,25.94,95.062,118.7,3.993,3.6,0.3942,-48.747,-18.9295
152.6,24.29,24.97,21.92,389.66,81.424,79.698,90.409,25.96,95.231,127.4,4.046,3.6,0.444,-33.605,-13.0946
160.1,24.3,24.98,22.64,387.47,71.924,79.753,98.883,26.24,95.122,115.5,4.025,3.6,0.4221,15.327,5.9389
149.2,24.43,24.97,22.03,387.94,70.665,79.817,90.691,26.15,94.542,117.1,3.981,3.6,0.3804,-20.218,-7.8434
147.3,24.3,24.97,21.15,388.99,89.989,79.862,88.174,25.47,95.061,120.1,4.012,3.6,0.4131,1.798,0.6996
171.6,24.39,24.98,20.95,385.82,79.458,79.785,84.973,26.29,95.014,124.4,3.981,3.6,0.3846,-10.261,-3.9589
153.2,24.25,24.99,21.25,389.26,76.116,79.798,94.218,25.63,95.083,112.5,3.962,3.6,0.364,-17.099,-6.656
144.2,24.43,24.98,22.22,389.42,78.356,79.8,97.422,26.1,95.323,113.4,4.018,3.6,0.4155,12.277,4.7809
144.4,24.55,24.98,21.97,393.0,71.136,79.812,89.696,25.8,94.587,109.8,4.021,3.6,0.4209,-19.733,-7.7551
142.5,24.42,24.99,22.22,387.13,88.539,79.889,97.847,25.66,94.882,120.2,4.02,3.6,0.4203,-50.615,-19.5943
157.5,24.89,24.98,22.5,386.98,77.642,79.901,78.18,25.23,95.118,114.4,3.99,3.6,0.39,-31.065,-12.0213
147.1,24.4,24.98,21.37,389.49,88.204,79.959,89.667,25.73,94.684,118.1,3.996,3.6,0.3973,-3.976,-1.5487
151.0,24.75,24.97,23.47,389.59,80.31,79.956,89.759,25.31,95.295,123.3,4.015,3.6,0.4127,-7.09,-2.7621152.1,24.43,25.0,21.19,387.13,85.809,80.02,93.854,25.41,95.345,119.8,4.017,3.6,0.4184,-26.326,-10.1916
136.3,24.48,25.0,20.01,389.86,94.507,79.906,93.975,25.65,94.693,122.2,3.977,3.6,0.3809,-27.492,-10.718
144.3,24.54,25.01,22.54,388.53,71.663,79.972,80.866,25.93,95.173,118.5,4.016,3.6,0.4183,11.503,4.4692
156.2,24.19,25.0,24.12,386.67,88.749,80.056,88.614,25.77,94.934,118.0,4.024,3.6,0.4262,-8.394,-3.2458
147.8,24.62,25.0,23.39,386.1,80.421,79.85,80.291,25.6,94.988,120.5,4.003,3.6,0.4089,-19.235,-7.4266
145.9,24.09,25.0,21.74,384.39,84.837,79.71,104.678,25.6,94.789,110.4,3.994,3.6,0.3946,-5.026,-1.9318
161.2,24.55,25.01,22.01,388.27,70.113,79.713,80.431,25.59,94.933,122.4,4.005,3.6,0.4061,-57.144,-22.187
141.6,24.77,25.01,22.89,386.93,88.808,79.671,83.713,25.55,95.26,120.0,3.939,3.6,0.3409,-15.863,-6.1377
143.6,24.49,25.0,23.12,382.88,84.719,79.66,83.756,26.48,95.117,120.2,4.003,3.6,0.4006,24.95,9.553
151.7,24.72,25.0,21.66,386.45,79.767,79.564,81.02,25.89,95.346,124.8,3.993,3.6,0.3925,-12.353,-4.7738
153.1,24.65,25.0,22.03,385.8,83.871,79.642,98.116,26.06,95.235,110.2,3.995,3.6,0.3944,-13.642,-5.263
154.0,24.42,25.0,22.3,390.83,75.407,79.71,104.535,25.65,95.088,110.1,4.011,3.6,0.4125,-4.037,-1.578
157.3,24.38,24.99,22.55,384.27,76.523,79.707,87.146,25.73,95.349,121.4,3.996,3.6,0.3952,2.912,1.119
151.6,24.62,24.99,21.87,384.91,77.219,79.809,82.077,25.58,95.088,120.0,3.975,3.6,0.3756,-54.949,-21.1504
153.9,24.29,24.99,21.88,390.05,68.884,79.846,76.578,24.99,95.166,120.9,3.996,3.6,0.3978,-48.647,-18.9746
